name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий;Версия ПО (опросник);Статус
@asamuzakjp/dom-selector;8.3.2;8.3.2;https://www.npmjs.com/package/%40asamuzakjp%2Fdom-selector;npm install @asamuzakjp/dom-selector@8.3.2;jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@babel/compat-data;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fcompat-data;npm install @babel/compat-data@8.0.5;@babel/helper-compilation-targets, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/helper-compilation-targets;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-compilation-targets;npm install @babel/helper-compilation-targets@8.0.5;@babel/core, @babel/helper-define-polyfill-provider, @babel/plugin-transform-classes, @babel/plugin-transform-function-name, @babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/helper-create-class-features-plugin;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-create-class-features-plugin;npm install @babel/helper-create-class-features-plugin@8.0.5;@babel/plugin-transform-class-properties, @babel/plugin-transform-class-static-block, @babel/plugin-transform-private-methods, @babel/plugin-transform-private-property-in-object;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/helper-create-regexp-features-plugin;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-create-regexp-features-plugin;npm install @babel/helper-create-regexp-features-plugin@8.0.5;@babel/plugin-transform-dotall-regex, @babel/plugin-transform-duplicate-named-capturing-groups-regex, @babel/plugin-transform-named-capturing-groups-regex, @babel/plugin-transform-regexp-modifiers, @babel/plugin-transform-unicode-property-regex, @babel/plugin-transform-unicode-regex, @babel/plugin-transform-unicode-sets-regex;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/helper-member-expression-to-functions;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-member-expression-to-functions;npm install @babel/helper-member-expression-to-functions@8.0.5;@babel/helper-create-class-features-plugin, @babel/helper-replace-supers;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/helper-module-transforms;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelper-module-transforms;npm install @babel/helper-module-transforms@8.0.5;@babel/core, @babel/plugin-transform-modules-amd, @babel/plugin-transform-modules-commonjs, @babel/plugin-transform-modules-systemjs, @babel/plugin-transform-modules-umd;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/helpers;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelpers;npm install @babel/helpers@8.0.5;@babel/core;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/parser;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fparser;npm install @babel/parser@8.0.5;@babel/core, @babel/generator, @babel/template, @babel/traverse, @types/babel__core, @types/babel__template, istanbul-lib-instrument;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.4;версия не совпадает
@babel/plugin-bugfix-safari-rest-destructuring-rhs-array;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-safari-rest-destructuring-rhs-array;npm install @babel/plugin-bugfix-safari-rest-destructuring-rhs-array@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-syntax-jsx;7.29.7;7.29.7;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-jsx;npm install @babel/plugin-syntax-jsx@7.29.7;jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-syntax-typescript;7.29.7;7.29.7;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-typescript;npm install @babel/plugin-syntax-typescript@7.29.7;jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.3;версия не совпадает
@babel/plugin-transform-block-scoping;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-block-scoping;npm install @babel/plugin-transform-block-scoping@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-class-static-block;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-class-static-block;npm install @babel/plugin-transform-class-static-block@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-classes;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-classes;npm install @babel/plugin-transform-classes@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-destructuring;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-destructuring;npm install @babel/plugin-transform-destructuring@8.0.5;@babel/plugin-transform-explicit-resource-management, @babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-explicit-resource-management;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-explicit-resource-management;npm install @babel/plugin-transform-explicit-resource-management@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-optional-chaining;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-optional-chaining;npm install @babel/plugin-transform-optional-chaining@8.0.5;@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-parameters;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-parameters;npm install @babel/plugin-transform-parameters@8.0.5;@babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-private-property-in-object;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-private-property-in-object;npm install @babel/plugin-transform-private-property-in-object@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-regenerator;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-regenerator;npm install @babel/plugin-transform-regenerator@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.2;версия не совпадает
@babel/plugin-transform-spread;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-transform-spread;npm install @babel/plugin-transform-spread@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/traverse;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Ftraverse;npm install @babel/traverse@8.0.5;@babel/core, @babel/helper-create-class-features-plugin, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-module-transforms, @babel/helper-remap-async-to-generator, @babel/helper-replace-supers, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-wrap-function, @babel/plugin-transform-async-generator-functions, @babel/plugin-transform-classes;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.4;версия не совпадает
@babel/types;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Ftypes;npm install @babel/types@8.0.5;@babel/core, @babel/generator, @babel/helper-annotate-as-pure, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-optimise-call-expression, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-split-export-declaration, @babel/helper-wrap-function, @babel/helpers, @babel/parser, @babel/preset-modules, @babel/template, @babel/traverse, @types/babel__core, @types/babel__generator, @types/babel__template, @types/babel__traverse, jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.4;версия не совпадает
@bcoe/v8-coverage;0.2.3;0.2.3;https://www.npmjs.com/package/%40bcoe%2Fv8-coverage;npm install @bcoe/v8-coverage@0.2.3;@jest/reporters;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;1.0.2;версия не совпадает
@bramus/specificity;2.4.2;2.4.2;https://www.npmjs.com/package/%40bramus%2Fspecificity;npm install @bramus/specificity@2.4.2;jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@cacheable/memory;2.2.0;2.2.0;https://www.npmjs.com/package/%40cacheable%2Fmemory;npm install @cacheable/memory@2.2.0;cacheable;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@cacheable/utils;2.5.0;2.5.0;https://www.npmjs.com/package/%40cacheable%2Futils;npm install @cacheable/utils@2.5.0;@cacheable/memory, cacheable;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/cjs-to-esm;0.19.2;0.19.2;https://www.npmjs.com/package/%40chialab%2Fcjs-to-esm;npm install @chialab/cjs-to-esm@0.19.2;@chialab/esbuild-plugin-commonjs;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/esbuild-plugin-commonjs;0.19.1;0.19.1;https://www.npmjs.com/package/%40chialab%2Fesbuild-plugin-commonjs;npm install @chialab/esbuild-plugin-commonjs@0.19.1;@angular-architects/native-federation;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/esbuild-rna;0.19.3;0.19.3;https://www.npmjs.com/package/%40chialab%2Fesbuild-rna;npm install @chialab/esbuild-rna@0.19.3;@chialab/esbuild-plugin-commonjs;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/estransform;0.20.1;0.20.1;https://www.npmjs.com/package/%40chialab%2Festransform;npm install @chialab/estransform@0.20.1;@chialab/cjs-to-esm, @chialab/esbuild-rna;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/node-resolve;0.19.1;0.19.1;https://www.npmjs.com/package/%40chialab%2Fnode-resolve;npm install @chialab/node-resolve@0.19.1;@chialab/esbuild-rna;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/color-helpers;6.1.1;6.1.1;https://www.npmjs.com/package/%40csstools%2Fcolor-helpers;npm install @csstools/color-helpers@6.1.1;@csstools/css-color-parser;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-calc;3.3.0;3.3.0;https://www.npmjs.com/package/%40csstools%2Fcss-calc;npm install @csstools/css-calc@3.3.0;@asamuzakjp/css-color, @csstools/css-color-parser;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-color-parser;4.2.2;4.2.2;https://www.npmjs.com/package/%40csstools%2Fcss-color-parser;npm install @csstools/css-color-parser@4.2.2;@asamuzakjp/css-color;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-parser-algorithms;4.0.0;4.0.0;https://www.npmjs.com/package/%40csstools%2Fcss-parser-algorithms;npm install @csstools/css-parser-algorithms@4.0.0;@asamuzakjp/css-color;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-syntax-patches-for-csstree;1.1.13;1.1.13;https://www.npmjs.com/package/%40csstools%2Fcss-syntax-patches-for-csstree;npm install @csstools/css-syntax-patches-for-csstree@1.1.13;jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-tokenizer;4.0.0;4.0.0;https://www.npmjs.com/package/%40csstools%2Fcss-tokenizer;npm install @csstools/css-tokenizer@4.0.0;@asamuzakjp/css-color;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@emnapi/wasi-threads;1.2.3;1.2.3;https://www.npmjs.com/package/%40emnapi%2Fwasi-threads;npm install @emnapi/wasi-threads@1.2.3;@emnapi/core;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;2.0.1;версия не совпадает
@esbuild/netbsd-arm64;0.28.2;0.28.2;https://www.npmjs.com/package/%40esbuild%2Fnetbsd-arm64;npm install @esbuild/netbsd-arm64@0.28.2;transitive (не определено по lockfile);Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@esbuild/openbsd-arm64;0.28.2;0.28.2;https://www.npmjs.com/package/%40esbuild%2Fopenbsd-arm64;npm install @esbuild/openbsd-arm64@0.28.2;transitive (не определено по lockfile);Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@esbuild/openharmony-arm64;0.28.2;0.28.2;https://www.npmjs.com/package/%40esbuild%2Fopenharmony-arm64;npm install @esbuild/openharmony-arm64@0.28.2;transitive (не определено по lockfile);Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@eslint/plugin-kit;0.7.3;0.7.3;https://www.npmjs.com/package/%40eslint%2Fplugin-kit;npm install @eslint/plugin-kit@0.7.3;eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;0.7.2;версия не совпадает
@exodus/bytes;1.15.1;1.15.1;https://www.npmjs.com/package/%40exodus%2Fbytes;npm install @exodus/bytes@1.15.1;html-encoding-sniffer, jsdom, whatwg-url;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@harperfast/extended-iterable;1.0.3;1.0.3;https://www.npmjs.com/package/%40harperfast%2Fextended-iterable;npm install @harperfast/extended-iterable@1.0.3;lmdb;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@hono/node-server;2.1.1;2.1.1;https://www.npmjs.com/package/%40hono%2Fnode-server;npm install @hono/node-server@2.1.1;@modelcontextprotocol/sdk;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@inquirer/ansi;2.0.8;2.0.8;https://www.npmjs.com/package/%40inquirer%2Fansi;npm install @inquirer/ansi@2.0.8;@inquirer/checkbox, @inquirer/core, @inquirer/password, @inquirer/select;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@inquirer/checkbox;5.2.5;5.2.5;https://www.npmjs.com/package/%40inquirer%2Fcheckbox;npm install @inquirer/checkbox@5.2.5;@inquirer/prompts;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@inquirer/confirm;6.1.1;6.1.1;https://www.npmjs.com/package/%40inquirer%2Fconfirm;npm install @inquirer/confirm@6.1.1;@angular/build, @inquirer/prompts;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@inquirer/core;11.2.1;11.2.1;https://www.npmjs.com/package/%40inquirer%2Fcore;npm install @inquirer/core@11.2.1;@inquirer/checkbox, @inquirer/confirm, @inquirer/editor, @inquirer/expand, @inquirer/input, @inquirer/number, @inquirer/password, @inquirer/rawlist, @inquirer/search, @inquirer/select;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
