name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий;Версия ПО (опросник);Статус
@angular-eslint/schematics;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/schematics/-/schematics-22.5.0.tgz;npm install @angular-eslint/schematics@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
@angular-eslint/template-parser;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/template-parser/-/template-parser-22.5.0.tgz;npm install @angular-eslint/template-parser@22.5.0;angular-eslint;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
@angular-eslint/utils;22.5.0;22.5.0;https://registry.npmjs.org/@angular-eslint/utils/-/utils-22.5.0.tgz;npm install @angular-eslint/utils@22.5.0;@angular-eslint/eslint-plugin, @angular-eslint/eslint-plugin-template;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;22.2.0;версия не совпадает
@asamuzakjp/css-color;6.0.7;6.0.7;https://registry.npmjs.org/@asamuzakjp/css-color/-/css-color-6.0.7.tgz;npm install @asamuzakjp/css-color@6.0.7;cssstyle, jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@asamuzakjp/dom-selector;8.3.2;8.3.2;https://registry.npmjs.org/@asamuzakjp/dom-selector/-/dom-selector-8.3.2.tgz;npm install @asamuzakjp/dom-selector@8.3.2;jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@babel/compat-data;8.0.5;8.0.5;https://registry.npmjs.org/@babel/compat-data/-/compat-data-8.0.5.tgz;npm install @babel/compat-data@8.0.5;@babel/helper-compilation-targets, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/helper-compilation-targets;8.0.5;8.0.5;https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-8.0.5.tgz;npm install @babel/helper-compilation-targets@8.0.5;@babel/core, @babel/helper-define-polyfill-provider, @babel/plugin-transform-classes, @babel/plugin-transform-function-name, @babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/helper-create-class-features-plugin;8.0.5;8.0.5;https://registry.npmjs.org/@babel/helper-create-class-features-plugin/-/helper-create-class-features-plugin-8.0.5.tgz;npm install @babel/helper-create-class-features-plugin@8.0.5;@babel/plugin-transform-class-properties, @babel/plugin-transform-class-static-block, @babel/plugin-transform-private-methods, @babel/plugin-transform-private-property-in-object;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/helper-create-regexp-features-plugin;8.0.5;8.0.5;https://registry.npmjs.org/@babel/helper-create-regexp-features-plugin/-/helper-create-regexp-features-plugin-8.0.5.tgz;npm install @babel/helper-create-regexp-features-plugin@8.0.5;@babel/plugin-transform-dotall-regex, @babel/plugin-transform-duplicate-named-capturing-groups-regex, @babel/plugin-transform-named-capturing-groups-regex, @babel/plugin-transform-regexp-modifiers, @babel/plugin-transform-unicode-property-regex, @babel/plugin-transform-unicode-regex, @babel/plugin-transform-unicode-sets-regex;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/helper-member-expression-to-functions;8.0.5;8.0.5;https://registry.npmjs.org/@babel/helper-member-expression-to-functions/-/helper-member-expression-to-functions-8.0.5.tgz;npm install @babel/helper-member-expression-to-functions@8.0.5;@babel/helper-create-class-features-plugin, @babel/helper-replace-supers;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
@babel/helper-module-transforms;8.0.5;8.0.5;https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-8.0.5.tgz;npm install @babel/helper-module-transforms@8.0.5;@babel/core, @babel/plugin-transform-modules-amd, @babel/plugin-transform-modules-commonjs, @babel/plugin-transform-modules-systemjs, @babel/plugin-transform-modules-umd;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/helpers;8.0.5;8.0.5;https://registry.npmjs.org/@babel/helpers/-/helpers-8.0.5.tgz;npm install @babel/helpers@8.0.5;@babel/core;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.0;версия не совпадает
